config_id,cpu_model,cpu_sockets,cpu_cores_per_socket,ram_gb,disks,miran_price,selectel_price,selectel_currency,selectel_price_period,selectel_plan_id,selectel_match_score,selectel_stock_count,selectel_match_count,reg_cloud_price,reg_cloud_currency,reg_cloud_price_period,reg_cloud_plan_id,reg_cloud_match_score,reg_cloud_stock_count,reg_cloud_match_count,timeweb_price,timeweb_currency,timeweb_price_period,timeweb_plan_id,timeweb_match_score,timeweb_stock_count,timeweb_match_count
MIR-138,Intel Xeon Gold 5218R,2,20,128,2×1000 ГБ SSD,45140.0,,,,,,,,38300.0,RUB,month,RD-58700,100.0,,2.0,,,,,,,
MIR-139,Intel Xeon Gold 5218R,2,20,128,2×1000 ГБ NVMe,52948.0,,,,,,,,39300.0,RUB,month,RD-58699,100.0,,1.0,,,,,,,
MIR-140,Intel Xeon Gold 5218R,2,20,192,2×480 ГБ SSD,46726.0,,,,,,,,,,,,,,,,,,,,,
MIR-141,Intel Xeon Gold 5218R,2,20,256,2×1000 ГБ SSD,49288.0,,,,,,,,,,,,,,,,,,,,,
MIR-142,Intel Xeon Gold 5218R,2,20,384,2×1900 ГБ SSD,56486.0,,,,,,,,,,,,,,,,,,,,,
MIR-143,Intel Xeon Gold 6240,2,18,128,2×1000 ГБ NVMe,51240.0,,,,,,,,,,,,,,,,,,,,,
MIR-144,Intel Xeon Gold 6240,2,18,128,2×2000 ГБ NVMe + 2×2000 ГБ SSD,60024.0,,,,,,,,,,,,,,,,,,,,,
MIR-145,Intel Xeon Gold 6240,2,18,192,2×480 ГБ SSD,46726.0,,,,,,,,,,,,,,,,,,,,,
MIR-146,Intel Xeon Gold 6240,2,18,192,2×1000 ГБ SSD,48068.0,,,,,,,,,,,,,,,,,,,,,
MIR-147,Intel Xeon Gold 6240R,2,24,256,2×2000 ГБ NVMe,64050.0,,,,,,,,,,,,,,,,,,,,,
MIR-148,Intel Xeon Gold 6240,2,18,384,2×1000 ГБ SSD,54168.0,,,,,,,,,,,,,,,,,,,,,
